Goal,goal_description,goal_id,Objective,obj_description,obj_id,Technique,tech_description,tech_id,Approach,app_description,app_id
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",a1
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,t3,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement. ",a10
